ApplicationDate,CreditScore,AnnualIncome,LoanAmount,EmploymentStatus,OutstandingDebt,EmploymentStartDate,LoanOutcome
2021-05-04 17:53:52.432432432,826,6527200,8837125,Self-Employed,330638,2012-06-26 09:21:57.073170752,Approved
2021-05-05 20:10:48.648648648,322,10962566,2535199,Employed,331865,2004-02-20 14:09:38.130994800,Denied
2021-05-06 22:27:44.864864866,436,10873990,9961181,Self-Employed,319335,2009-09-10 09:17:36.618251584,Approved
2021-05-08 00:44:41.081081082,358,13572164,6387235,Unemployed,377499,2009-12-13 20:40:42.751438784,Approved
2021-05-09 03:01:37.297297298,318,10587005,2110535,Unemployed,495748,2007-01-01 05:07:01.266100320,Denied
2021-05-10 05:18:33.513513514,354,10568351,5509837,Employed,399913,2014-12-18 02:27:35.467251328,Denied
2021-05-11 07:35:29.729729730,577,12496550,7601976,Self-Employed,85139,2005-04-18 07:44:52.354069600,Denied
2021-05-12 09:52:25.945945946,730,8461299,4256392,Employed,462463,2007-04-18 11:56:38.739380672,Approved
2021-05-13 12:09:22.162162162,641,13224114,5355338,Unemployed,251606,2009-03-11 20:14:40.021923840,Denied
2021-05-14 14:26:18.378378378,540,14625283,3556448,Unemployed,412681,2013-07-20 11:55:04.028500992,Denied
2021-05-15 16:43:14.594594594,502,9824953,1765148,Self-Employed,10446,2010-08-30 06:22:47.388325568,Denied
2021-05-16 19:00:10.810810812,414,13523855,9108641,Self-Employed,94180,2005-04-27 22:19:45.859139488,Denied
2021-05-17 21:17:07.027027028,565,11882654,6932084,Self-Employed,274427,2001-05-08 04:31:06.593587288,Approved
2021-05-18 23:34:03.243243244,836,11532911,7292765,Unemployed,158749,2005-06-27 18:40:44.724582080,Approved
2021-05-20 01:50:59.459459460,825,7909892,6698815,Self-Employed,229481,2014-09-21 00:47:45.004110720,Denied
2021-05-21 04:07:55.675675676,573,7366337,725967,Unemployed,83822,2000-06-07 12:35:42.833653056,Denied
2021-05-22 06:24:51.891891892,517,14322942,8189389,Unemployed,436678,2007-11-28 16:10:47.191011232,Approved
2021-05-23 08:41:48.108108108,634,7879154,6957026,Unemployed,254639,2006-08-22 21:50:10.030145248,Denied
2021-05-24 10:58:44.324324324,396,8178852,2909561,Employed,236199,2013-06-20 01:44:34.595779712,Denied
2021-05-25 13:15:40.540540540,600,9253402,7614175,Self-Employed,93430,2006-09-01 12:25:03.535215136,Denied
2021-05-26 15:32:36.756756758,596,13797532,9974945,Self-Employed,145867,2010-09-08 20:57:40.893395456,Denied
2021-05-27 17:49:32.972972974,599,3089203,851448,Unemployed,431334,2015-09-27 12:36:53.866812864,Denied
2021-05-28 20:06:29.189189190,760,4611063,2914459,Unemployed,375909,2001-11-25 22:43:50.200054808,Denied
2021-05-29 22:23:25.405405406,710,12511764,9809006,Unemployed,346355,2001-07-30 10:53:30.304192928,Denied
2021-05-31 00:40:21.621621622,312,9251138,2217038,Self-Employed,442250,2003-12-29 17:57:43.853110448,Approved
2021-06-01 02:57:17.837837838,586,5907389,1288403,Self-Employed,211739,2011-12-30 01:10:38.311866304,Denied
2021-06-02 05:14:14.054054054,650,10052596,3335996,Unemployed,143062,2014-10-23 01:24:03.354343680,Approved
2021-06-03 07:31:10.270270270,457,11429928,693661,Unemployed,400394,2001-01-17 16:49:51.285283640,Denied
2021-06-04 09:48:06.486486486,601,9886814,1241728,Unemployed,395202,2007-01-12 10:07:43.688681824,Approved
2021-06-05 12:05:02.702702704,797,8325502,938916,Unemployed,406501,2007-01-07 14:50:16.936146912,Approved
2021-06-06 14:21:58.918918920,597,8489154,9791273,Unemployed,312879,2010-04-11 08:31:02.647300672,Denied
2021-06-07 16:38:55.135135136,729,7999333,7620135,Unemployed,28577,2000-07-12 18:03:39.018909290,Denied
2021-06-08 18:55:51.351351352,593,7631421,6607800,Employed,290797,2004-07-12 02:27:11.789531376,Approved
2021-06-09 21:12:47.567567568,585,7573244,6034266,Self-Employed,297634,2009-03-29 10:58:38.114551936,Denied
2021-06-10 23:29:43.783783784,337,12656934,128732,Employed,197821,2014-07-30 04:35:50.726226368,Approved
2021-06-12 01:46:40.000000000,428,4543566,6375469,Self-Employed,24610,2007-01-06 00:24:28.018635264,Denied
2021-06-13 04:03:36.216216216,485,9309788,7535532,Self-Employed,491376,2014-07-20 14:00:57.221156480,Approved
2021-06-14 06:20:32.432432432,520,8946192,2203649,Employed,309132,2003-07-09 19:29:40.761852560,Approved
2021-06-15 08:37:28.648648650,516,3258317,9725591,Self-Employed,325068,2010-06-30 10:01:48.522883008,Denied
2021-06-16 10:54:24.864864866,619,10608874,1812355,Employed,323583,2012-03-14 07:23:57.434913664,Denied
2021-06-17 13:11:21.081081082,712,3111320,5197018,Employed,199082,2010-04-22 13:31:45.069882176,Denied
2021-06-18 15:28:17.297297298,499,8963801,2724710,Self-Employed,465911,2013-09-30 13:16:45.316525120,Approved
2021-06-19 17:45:13.513513514,838,8152876,8406145,Employed,220505,2008-06-09 10:14:26.209920544,Approved
2021-06-20 20:02:09.729729730,625,13368548,844499,Unemployed,340623,2002-09-27 18:54:33.444779392,Approved
2021-06-21 22:19:05.945945946,728,9158811,3812215,Employed,13581,2012-02-19 06:56:43.672238976,Approved
2021-06-23 00:36:02.162162162,629,6447350,9311535,Unemployed,219199,2010-01-11 16:25:23.266648384,Denied
2021-06-24 02:52:58.378378378,645,6868646,752689,Employed,443062,2008-02-24 17:50:37.654151840,Denied
2021-06-25 05:09:54.594594596,796,14399847,8024408,Unemployed,285690,2005-02-10 01:40:37.818580448,Approved
2021-06-26 07:26:50.810810812,502,9397681,6202347,Employed,118086,2000-02-10 00:45:22.937791176,Approved
2021-06-27 09:43:47.027027028,475,5714500,3163594,Unemployed,235258,2001-05-30 14:32:31.438750344,Approved
2021-06-28 12:00:43.243243244,452,13405878,4033666,Self-Employed,153758,2005-12-22 12:26:14.568374912,Denied
2021-06-29 14:17:39.459459460,700,7474242,2908459,Employed,272665,2008-07-14 15:42:22.395176768,Approved
2021-06-30 16:34:35.675675676,575,12847552,6762550,Employed,328847,2005-05-17 03:29:32.869279264,Approved
2021-07-01 18:51:31.891891892,309,14637677,4583746,Employed,93126,2003-12-05 17:30:30.090435744,Approved
2021-07-02 21:08:28.108108108,503,12918279,8430333,Unemployed,212657,2005-06-11 18:22:35.549465600,Approved
2021-07-03 23:25:24.324324324,494,5558742,353761,Employed,369416,2007-11-03 01:17:44.510824896,Denied
2021-07-05 01:42:20.540540540,426,3960031,7929210,Self-Employed,498063,2009-05-14 21:27:16.722389696,Denied
2021-07-06 03:59:16.756756758,317,6530841,6389153,Unemployed,91554,2008-11-14 22:50:09.043573600,Approved
2021-07-07 06:16:12.972972974,340,5766401,8337719,Unemployed,48491,2001-05-14 14:14:22.263633872,Denied
2021-07-08 08:33:09.189189190,783,9319936,5759789,Employed,153706,2001-04-12 13:38:03.913400936,Denied
2021-07-09 10:50:05.405405406,437,5551311,3914247,Unemployed,479717,2000-01-29 19:44:40.515209646,Denied
2021-07-10 13:07:01.621621622,799,6807047,9888851,Employed,474644,2009-05-02 02:00:45.382296512,Denied
2021-07-11 15:23:57.837837838,728,9537222,7106950,Unemployed,348912,2011-04-05 00:53:40.169909568,Denied
2021-07-12 17:40:54.054054054,421,9186574,2579960,Unemployed,410495,2012-08-19 19:59:40.268566720,Approved
2021-07-13 19:57:50.270270270,439,14605864,9916008,Unemployed,37875,2003-05-05 03:51:15.143875040,Denied
2021-07-14 22:14:46.486486486,673,12892274,8742606,Employed,219970,2005-04-02 07:26:43.178953152,Denied
2021-07-16 00:31:42.702702704,362,3796346,724745,Employed,233274,2013-06-02 11:00:36.503151552,Approved
2021-07-17 02:48:38.918918920,518,13594726,7061533,Unemployed,294207,2000-12-05 11:12:50.512469172,Denied
2021-07-18 05:05:35.135135136,573,11488137,7721106,Employed,265339,2011-03-23 05:27:08.829816384,Denied
2021-07-19 07:22:31.351351352,833,7273741,8617149,Employed,333048,2005-01-04 05:46:52.715812544,Approved
2021-07-20 09:39:27.567567568,552,14353770,4806729,Self-Employed,303367,2010-09-21 16:24:12.233488640,Denied
2021-07-21 11:56:23.783783784,464,5678362,2908542,Self-Employed,381751,2003-07-19 10:04:34.266922448,Denied
2021-07-22 14:13:20.000000000,728,7822350,8641589,Unemployed,31308,2004-09-06 03:30:43.902439040,Denied
2021-07-23 16:30:16.216216216,709,4591227,9722520,Employed,117884,2001-08-31 11:29:48.654425872,Denied
2021-07-24 18:47:12.432432432,325,14840249,9859310,Unemployed,302264,2001-09-21 07:05:24.582077280,Approved
2021-07-25 21:04:08.648648650,512,11634635,7889277,Self-Employed,187646,2007-08-19 19:04:25.387777472,Approved
2021-07-26 23:21:04.864864866,519,12841780,7494901,Unemployed,328367,2007-12-09 21:11:29.613592768,Denied
2021-07-28 01:38:01.081081082,459,7403765,2498387,Self-Employed,317513,2004-10-22 13:59:22.510276800,Denied
2021-07-29 03:54:57.297297296,512,10686752,9554906,Employed,334895,2008-12-08 23:17:22.806248288,Denied
2021-07-30 06:11:53.513513512,358,4020793,1564108,Self-Employed,264046,2015-05-17 14:54:13.713346112,Denied
2021-07-31 08:28:49.729729732,631,12568962,8741996,Employed,437090,2008-02-11 22:24:06.314058656,Denied
2021-08-01 10:45:45.945945948,399,3491153,1167575,Employed,420305,2005-08-03 14:34:29.827349952,Denied
2021-08-02 13:02:42.162162164,468,10037987,524823,Employed,301641,2002-08-05 22:42:39.166895040,Denied
2021-08-03 15:19:38.378378380,816,7238037,7945144,Self-Employed,79550,2002-08-05 22:42:39.166895040,Denied
2021-08-04 17:36:34.594594596,746,12646108,9350458,Employed,10550,2013-10-10 03:51:38.821594944,Denied
2021-08-05 19:53:30.810810812,311,11055207,962400,Unemployed,435626,2001-05-17 19:06:00.098657168,Approved
2021-08-06 22:10:27.027027028,640,8783157,738190,Employed,396437,2013-08-02 07:21:35.368594176,Denied
2021-08-08 00:27:23.243243244,437,3371654,2147901,Employed,138643,2002-11-19 15:06:27.722663744,Approved
2021-08-09 02:44:19.459459460,553,12681238,495832,Self-Employed,64624,2004-10-27 09:16:49.262811744,Approved
2021-08-10 05:01:15.675675676,393,10551048,93484,Unemployed,472688,2013-02-13 13:45:10.112359552,Denied
2021-08-11 07:18:11.891891892,704,12439180,2848018,Self-Employed,200795,2014-03-28 21:28:04.077829568,Denied
2021-08-12 09:35:08.108108108,413,8577022,701370,Employed,422412,2003-10-04 06:43:42.307481504,Denied
2021-08-13 11:52:04.324324324,711,9898263,1834138,Unemployed,134227,2012-03-11 02:32:19.599890368,Denied
2021-08-14 14:09:00.540540540,323,13696222,1357573,Unemployed,87874,2013-04-17 00:31:57.895313792,Approved
2021-08-15 16:25:56.756756756,478,8067794,4998474,Employed,403442,2000-05-25 17:09:11.493559880,Denied
2021-08-16 18:42:52.972972972,625,10817963,995079,Self-Employed,12724,2009-07-16 08:14:04.505343936,Approved
2021-08-17 20:59:49.189189188,688,10572955,856769,Self-Employed,22190,2005-11-01 06:40:09.208002208,Approved
2021-08-18 23:16:45.405405404,549,12257861,9022574,Employed,144329,2015-01-20 17:29:42.734995904,Denied
2021-08-20 01:33:41.621621624,421,11925097,8604860,Unemployed,267117,2002-06-15 16:56:33.806522336,Approved
2021-08-21 03:50:37.837837840,382,4687342,6076016,Self-Employed,162451,2015-03-20 23:24:52.682926848,Approved
2021-08-22 06:07:34.054054056,741,6466085,7782517,Employed,263185,2009-04-01 15:50:15.949575232,Denied
2021-08-23 08:24:30.270270272,760,5491521,5918585,Self-Employed,484293,2002-05-13 01:54:26.538777744,Denied
2021-08-24 10:41:26.486486488,509,5829468,6395289,Employed,443536,2005-02-14 20:58:04.571115392,Denied
2021-08-25 12:58:22.702702704,476,12090761,7595457,Self-Employed,136855,2005-02-11 16:06:26.736092096,Denied
2021-08-26 15:15:18.918918920,451,6455587,4978155,Unemployed,157441,2010-02-09 12:10:03.781858048,Approved
2021-08-27 17:32:15.135135136,807,8226412,8850387,Self-Employed,490891,2011-05-24 16:13:56.612770624,Approved
2021-08-28 19:49:11.351351352,420,13508132,3689598,Employed,55983,2008-12-16 23:26:27.393806528,Approved
2021-08-29 22:06:07.567567568,738,5823798,8316703,Self-Employed,17156,2004-03-01 04:44:31.636064672,Denied
2021-08-31 00:23:03.783783784,362,3330605,2454955,Unemployed,449894,2002-06-28 12:23:05.146615520,Approved
2021-09-01 02:40:00.000000000,486,12704051,8007086,Unemployed,416816,2001-07-17 15:26:58.964099752,Denied
2021-09-02 04:56:56.216216216,426,7170839,9037496,Employed,100296,2012-06-02 08:54:43.310496064,Denied
2021-09-03 07:13:52.432432432,471,6302481,1577414,Employed,432042,2009-12-12 06:14:53.833927104,Approved
2021-09-04 09:30:48.648648648,515,10716216,1775870,Employed,416462,2007-09-24 00:32:21.573033728,Approved
2021-09-05 11:47:44.864864864,416,9810111,5097296,Unemployed,126621,2007-12-25 21:29:38.788709248,Approved
2021-09-06 14:04:41.081081080,813,11804428,3284510,Employed,487667,2012-02-12 21:13:28.002192384,Approved
2021-09-07 16:21:37.297297296,431,5111284,1635288,Employed,415292,2006-02-10 03:46:31.011235968,Approved
2021-09-08 18:38:33.513513516,828,9384675,1859263,Self-Employed,344817,2005-07-23 09:33:47.404768448,Denied
2021-09-09 20:55:29.729729732,688,11610630,8135747,Unemployed,275917,2008-05-24 09:56:17.034804064,Approved
2021-09-10 23:12:25.945945948,488,4964909,1070114,Self-Employed,285716,2002-10-05 19:03:38.032337632,Approved
2021-09-12 01:29:22.162162164,804,4521672,6344667,Unemployed,319622,2003-06-07 18:53:22.411619632,Approved
2021-09-13 03:46:18.378378380,683,12611796,2735586,Employed,297777,2014-11-25 16:26:10.622088256,Denied
2021-09-14 06:03:14.594594596,485,14385464,7772005,Unemployed,35894,2003-10-09 02:01:09.060016448,Approved
2021-09-15 08:20:10.810810812,661,14530052,6017096,Employed,470274,2011-05-24 16:13:56.612770624,Denied
2021-09-16 10:37:07.027027028,842,9245305,8813110,Self-Employed,221656,2008-04-11 04:19:16.261989600,Denied
2021-09-17 12:54:03.243243244,680,6311848,5487910,Employed,75514,2009-10-26 19:46:15.226089344,Approved
2021-09-18 15:10:59.459459460,337,13174027,4723229,Employed,316702,2006-04-10 09:41:40.959166912,Approved
2021-09-19 17:27:55.675675676,556,12856202,7621353,Unemployed,369015,2001-08-29 21:03:59.736914224,Approved
2021-09-20 19:44:51.891891892,825,13892245,752892,Employed,37669,2005-11-28 11:59:00.805700192,Approved
2021-09-21 22:01:48.108108108,329,8514626,7582890,Self-Employed,107831,2006-04-20 00:16:34.464236768,Denied
2021-09-23 00:18:44.324324324,840,8626222,3004872,Self-Employed,400855,2007-05-09 07:32:14.667032064,Denied
2021-09-24 02:35:40.540540540,640,4714652,5508421,Unemployed,316995,2001-07-24 01:10:14.634146344,Approved
2021-09-25 04:52:36.756756756,354,3251425,5733025,Self-Employed,6278,2006-01-18 17:45:06.166072896,Approved
